Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
5,2021-07-09,1630Z ,41.4,71.7,50,RI,Elsa 
6,2021-08-16,1900Z ,29.7,85.4,55,FL,Fred 
8,2021-08-22,1520Z ,41.2,71.6,55,RI,Henri 
8,2021-08-22,1615Z ,41.3,71.8,55,RI,Henri 
13,2021-09-09,0115Z ,29.7,85.1,50,FL,Mindy 
3,2022-07-01,2330Z ,32.3,80.5,35,SC,Colin 
17,11/10/2022 &,0745Z ,27.6,80.3,60,FL,Nicole 
17,2022-11-10,1900Z ,29.2,83,40,FL,Nicole 
17,2022-11-11,0000Z ,30.1,84,35,FL,Nicole 
9,2023-08-22,1500Z ,27.1,97.4,50,TX,Harold 
16,2023-09-23,1015Z ,34.7,77.1,60,NC,Ophelia 
